,cnae_fiscal,cnae_fiscal_desc,uf,mun,quant,mun_uf,codigo_ibge,latitude,longitude;
0,2099199,Fabricação de outros produtos químicos não especificados anteriormente,sp,sertaozinho,3.0,sertaozinho - sp,3551702,-21.1316,-47.9875;
1,2099199,Fabricação de outros produtos químicos não especificados anteriormente,sp,sertaozinho,3.0,sertaozinho - sp,3551702,-21.1316,-47.9875;
2,2099199,Fabricação de outros produtos químicos não especificados anteriormente,sp,sertaozinho,3.0,sertaozinho - sp,3551702,-21.1316,-47.9875;
3,2099199,Fabricação de outros produtos químicos não especificados anteriormente,sp,sertaozinho,3.0,sertaozinho - sp,3551702,-21.1316,-47.9875;
4,2099199,Fabricação de outros produtos químicos não especificados anteriormente,sp,sertaozinho,3.0,sertaozinho - sp,3551702,-21.1316,-47.9875;
5,2099199,Fabricação de outros produtos químicos não especificados anteriormente,sp,sertaozinho,3.0,sertaozinho - sp,3551702,-21.1316,-47.9875;
6,2099199,Fabricação de outros produtos químicos não especificados anteriormente,sp,sertaozinho,3.0,sertaozinho - sp,3551702,-21.1316,-47.9875;
"7,2733300,""Fabricação de fios, cabos e condutores elétricos isolados"",sc,joinville,247.0,joinville - sc,4209102,-26.3045,-48.8487";
"8,2733300,""Fabricação de fios, cabos e condutores elétricos isolados"",sc,joinville,260434.8,joinville - sc,4209102,-26.3045,-48.8487";
"9,2733300,""Fabricação de fios, cabos e condutores elétricos isolados"",sc,joinville,146.0,joinville - sc,4209102,-26.3045,-48.8487";
"10,2733300,""Fabricação de fios, cabos e condutores elétricos isolados"",sc,joinville,99.9,joinville - sc,4209102,-26.3045,-48.8487";
"11,2733300,""Fabricação de fios, cabos e condutores elétricos isolados"",sc,joinville,60.0,joinville - sc,4209102,-26.3045,-48.8487";
"12,2733300,""Fabricação de fios, cabos e condutores elétricos isolados"",sc,joinville,60.0,joinville - sc,4209102,-26.3045,-48.8487";
"13,2733300,""Fabricação de fios, cabos e condutores elétricos isolados"",sc,joinville,0.04,joinville - sc,4209102,-26.3045,-48.8487";
"14,2733300,""Fabricação de fios, cabos e condutores elétricos isolados"",sc,joinville,0.61,joinville - sc,4209102,-26.3045,-48.8487";
15,1313800,Fiação de fibras artificiais e sintéticas,sp,paulinia,1.6,paulinia - sp,3536505,-22.7542,-47.1488;
16,1313800,Fiação de fibras artificiais e sintéticas,sp,paulinia,1.4,paulinia - sp,3536505,-22.7542,-47.1488;
17,1313800,Fiação de fibras artificiais e sintéticas,sp,paulinia,5.8,paulinia - sp,3536505,-22.7542,-47.1488;
18,1313800,Fiação de fibras artificiais e sintéticas,sp,paulinia,5.9,paulinia - sp,3536505,-22.7542,-47.1488;
19,1313800,Fiação de fibras artificiais e sintéticas,sp,paulinia,1.2,paulinia - sp,3536505,-22.7542,-47.1488;
20,1313800,Fiação de fibras artificiais e sintéticas,sp,paulinia,1.4,paulinia - sp,3536505,-22.7542,-47.1488;
"21,810006,""Extração de areia, cascalho ou pedregulho e beneficiamento associado"",sp,campina do monte alegre,0.03,campina do monte alegre - sp,3509452,-23.5895,-48.4758";
"22,810006,""Extração de areia, cascalho ou pedregulho e beneficiamento associado"",sp,campina do monte alegre,0.03,campina do monte alegre - sp,3509452,-23.5895,-48.4758";
"23,810006,""Extração de areia, cascalho ou pedregulho e beneficiamento associado"",sp,campina do monte alegre,0.03,campina do monte alegre - sp,3509452,-23.5895,-48.4758";
"24,810006,""Extração de areia, cascalho ou pedregulho e beneficiamento associado"",sp,campina do monte alegre,0.03,campina do monte alegre - sp,3509452,-23.5895,-48.4758";
"25,810006,""Extração de areia, cascalho ou pedregulho e beneficiamento associado"",sp,campina do monte alegre,5.0,campina do monte alegre - sp,3509452,-23.5895,-48.4758";
26,810007,Extração de argila e beneficiamento associado,sp,artur nogueira,0.01,artur nogueira - sp,3503802,-22.5727,-47.1727;
27,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,sp,morungaba,10.76,morungaba - sp,3532009,-22.8811,-46.7896;
28,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,sp,morungaba,10.4,morungaba - sp,3532009,-22.8811,-46.7896;
29,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,sp,morungaba,7.14,morungaba - sp,3532009,-22.8811,-46.7896;
30,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,sp,morungaba,5.7,morungaba - sp,3532009,-22.8811,-46.7896;
31,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,sp,morungaba,5.36,morungaba - sp,3532009,-22.8811,-46.7896;
32,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,sp,morungaba,4.7,morungaba - sp,3532009,-22.8811,-46.7896;
"33,2822401,""Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios"",pr,londrina,0.0,londrina - pr,4113700,-23.304000000000002,-51.1691";
"34,2822401,""Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios"",pr,londrina,0.0,londrina - pr,4113700,-23.304000000000002,-51.1691";
"35,2822401,""Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios"",pr,londrina,0.0,londrina - pr,4113700,-23.304000000000002,-51.1691";
36,1121600,Fabricação de águas envasadas,ma,governador edison lobao,0.0,governador edison lobao - ma,2104552,-5.7497300000000005,-47.3646;
37,1121600,Fabricação de águas envasadas,ma,governador edison lobao,0.0,governador edison lobao - ma,2104552,-5.7497300000000005,-47.3646;
38,1121600,Fabricação de águas envasadas,ma,governador edison lobao,0.0,governador edison lobao - ma,2104552,-5.7497300000000005,-47.3646;
39,1121600,Fabricação de águas envasadas,ma,governador edison lobao,0.0,governador edison lobao - ma,2104552,-5.7497300000000005,-47.3646;
40,1121600,Fabricação de águas envasadas,pb,santa rita,3.38,santa rita - pb,2513703,-7.11724,-34.9753;
41,1121600,Fabricação de águas envasadas,pb,santa rita,4.12,santa rita - pb,2513703,-7.11724,-34.9753;
42,1121600,Fabricação de águas envasadas,pb,santa rita,3.87,santa rita - pb,2513703,-7.11724,-34.9753;
43,1121600,Fabricação de águas envasadas,pb,santa rita,3.6,santa rita - pb,2513703,-7.11724,-34.9753;
44,1121600,Fabricação de águas envasadas,pa,belem,0.02,belem - pa,1501402,-1.4554,-48.4898;
45,4663000,Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças,pr,curitiba,0.25,curitiba - pr,4106902,-25.4195,-49.2646
46,1066000,Fabricação de alimentos para animais,sc,videira,1.4,videira - sc,4219309,-27.0086,-51.1543;
47,1066000,Fabricação de alimentos para animais,sc,videira,3.13,videira - sc,4219309,-27.0086,-51.1543;
48,1066000,Fabricação de alimentos para animais,sc,videira,2.76,videira - sc,4219309,-27.0086,-51.1543;
49,1066000,Fabricação de alimentos para animais,sc,videira,2.93,videira - sc,4219309,-27.0086,-51.1543;
50,1066000,Fabricação de alimentos para animais,sc,videira,1.79,videira - sc,4219309,-27.0086,-51.1543;
51,1066000,Fabricação de alimentos para animais,sc,videira,0.03,videira - sc,4219309,-27.0086,-51.1543;
52,1066000,Fabricação de alimentos para animais,sc,videira,2.98,videira - sc,4219309,-27.0086,-51.1543;
53,1051100,Preparação do leite,pr,laranjeiras do sul,4.71,laranjeiras do sul - pr,4113304,-25.4077,-52.4109;
"54,1621800,""Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"",pr,imbituva,12.0,imbituva - pr,4110102,-25.2285,-50.5989";
"55,1621800,""Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"",pr,imbituva,12.0,imbituva - pr,4110102,-25.2285,-50.5989";
"56,1621800,""Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"",pr,imbituva,10.0,imbituva - pr,4110102,-25.2285,-50.5989";
