"","data_inicio_fogo","localidade","mun","uf","tipo_item","provavel_causa","lat","lng"
"1","28/08/2017 12:08:00","FLONA DE BRASÍLIA","BRASILIA","DF","ATIVIDADE AGROPECUÁRIA","QUEIMA DE LIXO",-15.7865128,-48.0578407
"2","28/02/2019 11:02:00","PARNA E HISTÓRICO DO MONTE PASCOAL","PORTO SEGURO","BA","OUTRAS CAUSAS","VANDALISMO",-16.8926746,-39.2167384
"3","05/04/2016 20:04:00","APA SANTO ANTÔNIO","SANTA CRUZ CABRALIA","BA","OUTRAS CAUSAS","INDETERMINADO",-16.1838426,-38.9636055
"4","29/10/2019 10:10:00","PARQUE NATURAL SERRA DAS ALMAS","RIO DE CONTAS","BA","OUTRAS CAUSAS","INDETERMINADO",-13.3715942,-41.8841023
"5","02/03/2016 08:03:00","VALE DO RIO BURANHÉM","PORTO SEGURO","BA","OUTRAS CAUSAS","INDETERMINADO",-16.4179048,-39.5367393
"6","12/10/2018 10:10:00","PARNA DA CHAPADA DIAMANTINA","MUCUGE","BA","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM NATURAL",-13.0088285,-41.3711799
"7","12/10/2018 10:10:00","PARNA DA CHAPADA DIAMANTINA","ITAETE","BA","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM NATURAL",-4.2647341,-55.991954
"8","26/01/2017 10:01:00","PA BOA SORTE /","ANDARAI","BA","OUTRAS CAUSAS","INDETERMINADO",-12.8006321,-41.3271166
"9","26/01/2017 10:01:00","PA BOA SORTE /","IBICOARA","BA","OUTRAS CAUSAS","INDETERMINADO",-13.4136556,-41.284438
"10","26/01/2017 10:01:00","PA BOA SORTE /","ITAETE","BA","OUTRAS CAUSAS","INDETERMINADO",-12.9810717,-40.9654076
"11","26/01/2017 10:01:00","PA BOA SORTE /","IRAMAIA","BA","OUTRAS CAUSAS","INDETERMINADO",-13.3186145,-41.0976382
"12","12/02/2019 13:02:00","RVS DO RIO DOS FRADES","PORTO SEGURO","BA","OUTRAS CAUSAS","INDETERMINADO",-16.5588254,-39.3975677
"13","12/02/2019 13:02:00","IMBIRIBA","PORTO SEGURO","BA","OUTRAS CAUSAS","INDETERMINADO",-16.6588812,-39.1471634
"14","05/03/2021 15:03:00","ALDEIA VELHA","PORTO SEGURO","BA","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM PLANTADA",-16.4443537,-39.0653656
"15","05/03/2021 15:03:00","ALDEIA VELHA","PORTO SEGURO","BA","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM NATURAL",-16.4443537,-39.0653656
"16","05/03/2021 15:03:00","ALDEIA VELHA","PORTO SEGURO","BA","EXTRATIVISMO","CAÇA",-16.4443537,-39.0653656
"17","06/10/2020 08:10:00","PARNA DA CHAPADA DIAMANTINA","MUCUGE","BA","OUTRAS CAUSAS","INDETERMINADO",-13.0088285,-41.3711799
"18","06/10/2020 08:10:00","PARNA DA CHAPADA DIAMANTINA","ANDARAI","BA","OUTRAS CAUSAS","INDETERMINADO",-12.8801668,-41.3721853
"19","06/10/2020 08:10:00","PARQUE NATURAL MUNICIPAL DE ANDARAÍ ROTA DAS CACHOEIRAS","ANDARAI","BA","OUTRAS CAUSAS","INDETERMINADO",-12.7872832,-41.3629205
"20","06/10/2020 08:10:00","PARQUE NATURAL MUNICIPAL DE ANDARAÍ ROTA DAS CACHOEIRAS","MUCUGE","BA","OUTRAS CAUSAS","INDETERMINADO",-12.9930078,-41.3406371
"21",NA,"SÃO MARCOS - RR","PACARAIMA","RR","ATIVIDADE AGROPECUÁRIA","QUEIMA DE LIXO",4.478414,-61.1482639
"22","20/02/2016 11:02:00","RAPOSA SERRA DO SOL","UIRAMUTA","RR",NA,NA,4.4007377,-60.3597208
"23",NA,"YANOMAMI","MUCAJAI","RR",NA,NA,2.4470932,-60.9187845
"24","04/12/2015 14:12:00","APA COROA VERMELHA","PORTO SEGURO","BA","OUTRAS CAUSAS","INDETERMINADO",-16.3368034,-39.0094642
"25","08/01/2016 23:01:00","ALDEIA VELHA","PORTO SEGURO","BA","OUTRAS CAUSAS","INDETERMINADO",-16.4443537,-39.0653656
"26","03/02/2016 19:02:00","APA COROA VERMELHA","SANTA CRUZ CABRALIA","BA","OUTRAS CAUSAS","INDETERMINADO",-16.3374347,-39.008728
"27","15/07/2016 13:07:00","ÁREA MILITAR DA BASE AÉREA DE PORTO VELHO","PORTO VELHO","RO","OUTRAS CAUSAS","VANDALISMO",-8.7050743,-63.8973226
"28","31/07/2016 12:07:00","Vila de Samuel","PORTO VELHO","RO","OUTRAS CAUSAS","INDETERMINADO",-8.6568469,-63.4129833
"29","09/08/2016 16:08:00","LINHA MA 04, KM 31","VALE DO ANARI","RO","OUTRAS CAUSAS","VANDALISMO",-9.8596408,-62.1748035
"30","20/08/2019 13:08:00","FAZ: MOENDA","CORUMBA","MS","OUTRAS CAUSAS","VANDALISMO",-19.016104,-57.6496917
"31","18/08/2019 11:08:00","BAKAIRI","PARANATINGA","MT","OUTRAS CAUSAS","VANDALISMO",-14.298967,-54.6188614
"32","20/09/2019 08:09:00","Estância 120 - Pocone/MT","POCONE","MT","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM PLANTADA",-16.266471,-56.626599
"33","09/09/2019 10:09:00","P.A. Facão Projeto Cinturão Verde / Cáceres","CACERES","MT","OUTRAS CAUSAS","INDETERMINADO",-16.166667,-57.6
"34","10/08/2019 13:08:00","Aldeia Santana","NOBRES","MT","ACIDENTE","FAGULHA DE MÁQUINAS",-14.2087889,-55.4797867
"35","02/11/2019 13:11:00","Base de Estudo - UFMS - Passo do Lontra","CORUMBA","MS","OUTRAS CAUSAS","INDETERMINADO",-19.5768912,-57.0191689
"36","10/01/2016 14:01:00","RAPOSA SERRA DO SOL","UIRAMUTA","RR","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM NATURAL",4.4007377,-60.3597208
"37","10/01/2016 17:01:00","RAPOSA SERRA DO SOL","UIRAMUTA","RR","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM NATURAL",4.4007377,-60.3597208
"38","27/01/2016 04:01:00","SERRA DA MOÇA","BOA VISTA","RR","ATIVIDADE AGROPECUÁRIA","QUEIMA DE LIXO",3.2705054,-60.6745864
"39","31/12/2015 11:12:00","RAPOSA SERRA DO SOL","NORMANDIA","RR","OUTRAS CAUSAS","VANDALISMO",3.8797158,-59.6340059
"40","28/02/2016 18:02:00","YANOMAMI","MUCAJAI","RR",NA,NA,2.4470932,-60.9187845
"41","26/02/2016 19:02:00","YANOMAMI","ALTO ALEGRE","RR",NA,NA,2.9926147,-61.3115797
"42","26/02/2016 15:02:00","TABALASCADA","CANTA","RR","ATIVIDADE AGROPECUÁRIA","LIMPEZA DE ÁREA PARA CULTIVO",2.6862791,-60.6017441
"43","26/02/2016 11:02:00","TABALASCADA","CANTA","RR","ACIDENTE","FAGULHA TRANSPORTADA PELO VENTO",2.6862791,-60.6017441
"44",NA,"YANOMAMI","MUCAJAI","RR","ACIDENTE","CONFECÇÃO DE ACEIRO",2.4470932,-60.9187845
"45",NA,"YANOMAMI","MUCAJAI","RR","OUTRAS CAUSAS","INDETERMINADO",2.4470932,-60.9187845
"46",NA,"YANOMAMI","MUCAJAI","RR","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM PLANTADA",2.4470932,-60.9187845
"47","22/01/2019 12:01:00","Fazenda","SANTA CRUZ CABRALIA","BA","ATIVIDADE AGROPECUÁRIA","QUEIMA DE LIXO",-16.2739677,-39.0356826
"48","09/02/2019 13:02:00","SÃO MARCOS - RR","PACARAIMA","RR","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM PLANTADA",4.478414,-61.1482639
"49","28/09/2019 15:09:00","linha 06 / Sentido Jacaré","COTRIGUACU","MT","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM PLANTADA",-9.9030481,-58.5657066
"50","24/09/2019 13:09:00","LH 04 Cotriguaçu-MT","COTRIGUACU","MT","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM PLANTADA",-9.9052987,-58.5698988
"51","13/09/2019 13:09:00","PDS BORDOLÃNDIA / SERRA NOVA DOURADA","SERRA NOVA DOURADA","MT","OUTRAS CAUSAS","VANDALISMO",-12.0763919,-51.4728808
"52","25/01/2016 21:01:00","SERRA DA MOÇA","BOA VISTA","RR","ATIVIDADE AGROPECUÁRIA","QUEIMA DE LIXO",3.2705054,-60.6745864
"53","10/01/2016 03:01:00","RAPOSA SERRA DO SOL","NORMANDIA","RR","OUTRAS CAUSAS","VANDALISMO",3.8797158,-59.6340059
"54","20/01/2016 21:01:00","RAPOSA SERRA DO SOL","NORMANDIA","RR","OUTRAS CAUSAS","VANDALISMO",3.8797158,-59.6340059
