"","municipio","lat","lng","sum_quant"
"1","abadiania - go",-16.197,-48.7057,293.24
"2","abaete - mg",-19.1551,-45.4444,317.058333333333
"3","abaetetuba - pa",-1.72183,-48.8788,1.85
"4","abelardo luz - sc",-26.5716,-52.3229,1158.559
"5","abreu e lima - pe",-7.90072,-34.8984,882.45375
"6","acaiaca - mg",-20.359,-43.1439,0.01
"7","acailandia - ma",-4.94714,-47.5004,561.1
"8","acarape - ce",-4.22083,-38.7055,3660.16
"9","acari - rn",-6.4282,-36.6347,462217.44
"10","acopiara - ce",-6.08911,-39.448,5184
"11","acorizal - mt",-15.194,-56.3632,170.4
"12","acrelandia - ac",-9.82581,-66.8972,4.1
"13","acreuna - go",-17.396,-50.3749,1
"14","acucena - mg",-19.0671,-42.5419,1186.71666666667
"15","adamantina - sp",-21.682,-51.0737,0
"16","adrianopolis - pr",-24.6606,-48.9922,58.7033333333333
"17","afonso claudio - es",-20.0778,-41.1261,7.065
"18","afranio - pe",-8.51136,-41.0095,795.513428571429
"19","agrolandia - sc",-27.4087,-49.822,30.16375
"20","agronomica - sc",-27.2662,-49.708,0.24
"21","agua boa - mt",-14.051,-52.1601,3.82
"22","agua clara - ms",-20.4452,-52.879,3464.55
"23","agua doce - sc",-26.9985,-51.5528,57.33
"24","agua doce do norte - es",-18.5482,-40.9854,108.896666666667
"25","aguai - sp",-22.0572,-46.9735,709.739821428571
"26","aguanil - mg",-20.9439,-45.3915,8.39333333333333
"27","aguas formosas - mg",-17.0802,-40.9384,11.02
"28","agudos - sp",-22.4694,-48.9863,129.79
"29","aguia branca - es",-18.9846,-40.7437,5
"30","aguiarnopolis - to",-6.55409,-47.4702,1259
"31","aimores - mg",-19.5007,-41.0746,21815.05
"32","aiuruoca - mg",-21.9736,-44.6042,91.7466666666667
"33","alagoa - mg",-22.171,-44.6413,0.5
"34","alagoa grande - pb",-7.03943,-35.6206,2.87333333333333
"35","alagoinhas - ba",-12.1335,-38.4208,57.6954166666667
"36","alegrete - rs",-29.7902,-55.7949,1044.78333333333
"37","alem paraiba - mg",-21.8797,-42.7176,8.22
"38","alenquer - pa",-1.94623,-54.7384,0.03
"39","alexania - go",-16.0834,-48.5076,0.01
"40","alfenas - mg",-21.4256,-45.9477,0
"41","alfredo chaves - es",-20.6396,-40.7543,0.075
"42","alfredo vasconcelos - mg",-21.1535,-43.7718,11.4205714285714
"43","alhandra - pb",-7.42977,-34.9057,0
"44","alianca do tocantins - to",-11.3056,-48.9361,1.1
