"","municipio_codigo","municipio","uf","latitude","longitude","n","s"
"1",1100015,"ALTA FLORESTA D'OESTE","RO",-11.9283,-61.9953,8,7
"2",1100023,"ARIQUEMES","RO",-9.90571,-63.0325,22,16
"3",1100049,"CACOAL","RO",-11.4343,-61.4562,95,17
"4",1100056,"CEREJEIRAS","RO",-13.187,-60.8168,2,7
"5",1100064,"COLORADO DO OESTE","RO",-13.1174,-60.5454,3,2
"6",1100072,"CORUMBIARA","RO",-12.9551,-60.8947,1,1
"7",1100098,"ESPIGAO D'OESTE","RO",-11.5266,-61.0252,3,5
"8",1100106,"GUAJARA-MIRIM","RO",-10.7889,-65.3296,20,8
"9",1100114,"JARU","RO",-10.4318,-62.4788,29,9
"10",1100122,"JI-PARANA","RO",-10.8777,-61.9322,134,285
"11",1100130,"MACHADINHO D'OESTE","RO",-9.44363,-61.9818,3,13
"12",1100148,"NOVA BRASILANDIA D'OESTE","RO",-11.7247,-62.3127,2,1
"13",1100155,"OURO PRETO DO OESTE","RO",-10.7167,-62.2565,7,17
"14",1100189,"PIMENTA BUENO","RO",-11.672,-61.198,15,23
"15",1100205,"PORTO VELHO","RO",-8.76077,-63.8999,73,100
"16",1100254,"PRESIDENTE MEDICI","RO",-11.169,-61.8986,19,14
"17",1100288,"ROLIM DE MOURA","RO",-11.7271,-61.7714,19,17
"18",1100296,"SANTA LUZIA D'OESTE","RO",-11.9074,-61.7777,1,0
"19",1100304,"VILHENA","RO",-12.7502,-60.1488,34,81
"20",1100320,"SAO MIGUEL DO GUAPORE","RO",-11.6953,-62.7192,1,1
"21",1100338,"NOVA MAMORE","RO",-10.4077,-65.3346,0,3
"22",1100346,"ALVORADA D'OESTE","RO",-11.3463,-62.2847,2,9
"23",1100379,"ALTO ALEGRE DO PARECIS","RO",-12.132,-61.835,2,0
"24",1100403,"ALTO PARAISO","RO",-9.71429,-63.3188,1,0
"25",1100452,"BURITIS","RO",-10.1943,-63.8324,21,26
"26",1100502,"NOVO HORIZONTE DO OESTE","RO",-11.6961,-61.9951,6,3
"27",1100809,"CANDEIAS DO JAMARI","RO",-8.7907,-63.7005,2,2
"28",1100924,"CHUPINGUAIA","RO",-12.5611,-60.8877,3,4
"29",1100940,"CUJUBIM","RO",-9.36065,-62.5846,0,8
"30",1101005,"GOVERNADOR JORGE TEIXEIRA","RO",-10.61,-62.7371,3,7
"31",1101104,"ITAPUA DO OESTE","RO",-9.19687,-63.1809,0,1
"32",1101203,"MINISTRO ANDREAZZA","RO",-11.196,-61.5174,9,2
"33",1101302,"MIRANTE DA SERRA","RO",-11.029,-62.6696,3,2
"34",1101401,"MONTE NEGRO","RO",-10.2458,-63.29,3,1
"35",1101450,"PARECIS","RO",-12.1754,-61.6032,2,0
"36",1101468,"PIMENTEIRAS DO OESTE","RO",-13.4823,-61.0471,4,1
"37",1101476,"PRIMAVERA DE RONDONIA","RO",-11.8295,-61.3153,1,1
"38",1101484,"SAO FELIPE D'OESTE","RO",-11.9023,-61.5026,4,6
"39",1101492,"SAO FRANCISCO DO GUAPORE","RO",-12.052,-63.568,1,3
"40",1101500,"SERINGUEIRAS","RO",-11.8055,-63.0182,0,2
"41",1101559,"TEIXEIROPOLIS","RO",-10.9056,-62.242,1,0
"42",1101609,"THEOBROMA","RO",-10.2483,-62.3538,1,0
"43",1101708,"URUPA","RO",-11.1261,-62.3639,3,1
"44",1200013,"ACRELANDIA","AC",-9.82581,-66.8972,1,6
"45",1200104,"BRASILEIA","AC",-10.995,-68.7497,1,9
"46",1200203,"CRUZEIRO DO SUL","AC",-7.62762,-72.6756,5,20
"47",1200252,"EPITACIOLANDIA","AC",-11.0188,-68.7341,4,3
"48",1200302,"FEIJO","AC",-8.17054,-70.351,1,0
"49",1200344,"MANOEL URBANO","AC",-8.83291,-69.2679,0,3
"50",1200385,"PLACIDO DE CASTRO","AC",-10.2806,-67.1371,1,0
"51",1200401,"RIO BRANCO","AC",-9.97499,-67.8243,36,81
"52",1200450,"SENADOR GUIOMARD","AC",-10.1497,-67.7362,0,2
"53",1200500,"SENA MADUREIRA","AC",-9.06596,-68.6571,0,3
"54",1200609,"TARAUACA","AC",-8.15697,-70.7722,3,5
"55",1300060,"AMATURA","AM",-3.37455,-68.2005,0,1
"56",1300086,"ANAMA","AM",-3.56697,-61.3963,0,5
